task_id,source,entry_point,corruption_type,is_corrupted,stage1_score,stage1_blocked,judge_escalated,judge_verdict,gate_stage,gate_decision,action,ungated_passed,gated_passed,ungated_error,gated_error
mbpp_116,mbpp,tuple_to_int,over_summarization,True,0.284,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_138,mbpp,is_Sum_Of_Powers_Of_Two,fake_completion,True,0.3795,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_127,mbpp,multiply_int,invert_objective,True,0.4941,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_056,mbpp,rev,invert_objective,True,0.359,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_234,mbpp,volume_cube,truncation,True,0.0281,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_239,mbpp,get_total_number_of_sequences,over_summarization,True,0.1139,True,False,,1,BLOCK,fallback_raw_stage1,True,False,False,False
he_144,humaneval,simplify,fake_completion,True,0.4835,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_245,mbpp,max_sum,invert_objective,True,0.5186,False,True,0.0,2,BLOCK,fallback_raw_stage2,False,True,False,False
he_150,humaneval,x_or_y,truncation,True,0.0,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_260,mbpp,newman_prime,fake_completion,True,0.4778,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_249,mbpp,intersection_array,clean,False,0.517,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_262,mbpp,split_two_parts,clean,False,0.5174,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_272,mbpp,rear_extract,truncation,True,0.0033,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_280,mbpp,sequential_search,clean,False,0.4915,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_282,mbpp,sub_list,over_summarization,True,0.3275,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_299,mbpp,max_aggregate,invert_objective,True,0.6956,False,True,0.0,2,BLOCK,fallback_raw_stage2,False,False,False,False
mbpp_296,mbpp,get_Inv_Count,clean,False,0.5183,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_301,mbpp,dict_depth,fake_completion,True,0.4623,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_300,mbpp,count_binary_seq,clean,False,0.7981,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_388,mbpp,highest_Power_of_2,truncation,True,0.0067,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_312,mbpp,volume_cone,clean,False,0.4795,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_389,mbpp,find_lucas,clean,False,0.4887,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_395,mbpp,first_non_repeating_character,over_summarization,True,0.1512,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_405,mbpp,check_tuplex,invert_objective,True,0.5197,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_396,mbpp,check_char,clean,False,0.4219,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_414,mbpp,overlapping,clean,False,0.5112,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_413,mbpp,extract_nth_element,fake_completion,True,0.7804,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_410,mbpp,min_val,clean,False,0.5397,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,False,False,False
mbpp_415,mbpp,max_Product,truncation,True,0.1265,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_420,mbpp,cube_Sum,clean,False,0.5488,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_418,mbpp,Find_Max,clean,False,0.5223,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_419,mbpp,round_and_sum,over_summarization,True,0.0584,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_427,mbpp,change_date_format,invert_objective,True,0.1073,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_433,mbpp,check_greater,fake_completion,True,0.3824,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_429,mbpp,and_tuples,clean,False,0.4546,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_438,mbpp,count_bidirectional,clean,False,0.6775,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_444,mbpp,trim_tuple,clean,False,0.7432,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_440,mbpp,find_adverb_position,truncation,True,0.0133,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_447,mbpp,cube_nums,over_summarization,True,0.0167,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_448,mbpp,cal_sum,clean,False,0.4566,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_455,mbpp,check_monthnumb_number,invert_objective,True,0.0167,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_461,mbpp,upper_ctr,clean,False,0.5549,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_465,mbpp,drop_empty,fake_completion,True,0.7707,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_468,mbpp,max_product,clean,False,0.7907,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_474,mbpp,replace_char,truncation,True,0.147,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_476,mbpp,big_sum,clean,False,0.5429,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_479,mbpp,first_Digit,clean,False,0.5041,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_478,mbpp,remove_lowercase,over_summarization,True,0.113,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_565,mbpp,split,clean,False,0.7689,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_562,mbpp,Find_Max_Length,invert_objective,True,0.5468,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_582,mbpp,my_dict,fake_completion,True,0.4712,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_600,mbpp,is_Even,clean,False,0.5434,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_585,mbpp,expensive_items,clean,False,0.7708,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_728,mbpp,sum_list,truncation,True,0.0133,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_643,mbpp,text_match_wordz_middle,clean,False,0.4217,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_736,mbpp,left_insertion,clean,False,0.8289,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_631,mbpp,replace_spaces,fake_completion,True,0.4615,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_775,mbpp,odd_position,invert_objective,True,0.4717,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_781,mbpp,count_divisors,clean,False,0.4618,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_770,mbpp,odd_num_sum,clean,False,0.5304,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_783,mbpp,rgb_to_hsv,fake_completion,True,0.684,False,True,1.0,2,PASS,handoff_code,False,False,False,False
task_008,hand_easy,word_freq,clean,False,0.7844,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_809,mbpp,check_smaller,over_summarization,True,0.0961,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
task_075,hand_hard,mask_pii,invert_objective,True,0.109,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_623,mbpp,nth_nums,clean,False,0.5269,False,True,1.0,2,PASS,handoff_code,True,True,False,False
mbpp_612,mbpp,merge,clean,False,0.4562,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_610,mbpp,remove_kth_element,over_summarization,True,0.217,True,False,,1,BLOCK,fallback_raw_stage1,False,False,False,False
mbpp_615,mbpp,average_tuple,invert_objective,True,0.5082,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_757,mbpp,count_reverse_pairs,over_summarization,True,0.0,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
mbpp_786,mbpp,right_insertion,clean,False,0.4558,False,True,0.0,2,BLOCK,fallback_raw_stage2,True,True,False,False
mbpp_790,mbpp,even_position,truncation,True,0.0067,True,False,,1,BLOCK,fallback_raw_stage1,False,True,False,False
mbpp_802,mbpp,count_rotation,clean,False,0.7625,False,True,1.0,2,PASS,handoff_code,False,False,False,False
mbpp_588,mbpp,big_diff,truncation,True,0.0067,True,False,,1,BLOCK,fallback_raw_stage1,True,True,False,False
