task_id,problem,handoff,corruption_type,label
task_007,Write a function that merges two sorted lists of integers into one sorted list.,"HANDOFF MESSAGE FOR AGENT B:

Your task is to implement a Python function that merges two already-sorted lists of integers into a single, continuously sorted list.

**Function Signature:**
```python
def merge_sorted_lists(list1: list[int], list2: list[int]) -> list[int]:
```

**Key Edge Cases to Handle:**

**Approach/Plan:**",tool_result_drop,0
task_009,Write a function that returns the longest common prefix among a list of strings. Return empty string if none.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:** 
Write a Python function that finds and returns the longest common prefix string amongst an array of strings. If there is no common prefix, return an empty string (`""""`).

**Function Signature:**
```python
def longest_common_prefix(strs: list[str]) -> str:
```

**Key Edge Cases to Handle:**
1. **Empty input list (`[]`):** Return `""""`.
2. **List with a single string (`[""abc""]`):** Return that string (`""abc""`).
3. **List containing an empty string (`["""", ""b""]`):** Return `""""`.
4. **No common prefix at all (`[""dog"", ""racecar"", ""car""]`):** Return `""""`.
5. **Strings of varying lengths:** Ensure the algorithm doesn't raise an `IndexError` when checking characters beyond the length of the shortest string.

**Suggested Approach:**
1. Handle the edge case where the input list is empty by immediately returning `""""`.
2. Assume the first string in the list is the initial candidate for the longest common prefix.
3. Iterate through the remaining strings in the list. For each string, iteratively compare and trim the candidate prefix (from right to left, or character by character using `.startswith()`) until it matches the start of the current string.
4. If the candidate prefix ever becomes empty, terminate early and return `""""`.
5. Return the final remaining prefix after checking all strings.",none,1
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","**Handoff Message for Agent B**

Your task is to write a Python function that determines whether a given binary tree is height-balanced. 

**Function Signature:**
```python
def is_balanced(root) -> bool:
```

**Input Format:**
The binary tree is represented either as `None` (for an empty tree) or as a nested tuple of the form `(value, left, right)`, where `left` and `right` are themselves subtrees of the same format (or `None`).

**Definition of Height-Balanced:**
A binary tree is height-balanced if, for every node in the tree, the difference in height between its left and right subtrees is at most 1.

**Key Edge Cases to Handle:**
1. An empty tree (`None`) is considered height-balanced and should return `True`.
2. A tree with only a root node and no children should return `True`.
3. Unbalanced trees at any depth must propagate the unbalanced state upward immediately (do not just check the root's immediate children).

**Plan / Approach:**
- Write a helper function (or use recursion in `is_balanced`) that computes the height of a subtree.
- Instead of calculating heights separately (which leads to $O(N^2)$ time complexity), have the height-checking function return both:
  1. A boolean indicating whether the subtree is balanced.
  2. The integer height of the subtree.
- If any subtree is found to be unbalanced, return a sentinel value (like `-1` for height) or short-circuit to avoid unnecessary traversal.
- This approach will yield an optimal $O(N)$ time complexity and $O(H)$ space complexity (where $H$ is the tree height).",none,1
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","**Handoff Message for Agent B**

Your task is to write a Python function that determines whether a given binary tree is height-balanced. **Definition of Height-Balanced:**
A binary tree is height-balanced if, for every node in the tree, the difference in height between its left and right subtrees is at most 1. **Key Edge Cases to Handle:**
1. 2. A tree with only a root node and no children should return `True`. 3. A boolean indicating whether the subtree is balanced. 2. The integer height of the subtree.",entity_omission,0
task_010,"Write a function that returns True if a binary tree (given as nested tuples (value, left, right) or None) is height-balanced.","**Handoff Message for Agent B**

Your task is to write a Python function that determines whether a given binary tree is height-balanced.",over_summarization,0
task_008,Write a function that counts the frequency of each word in a string (case-insensitive) and returns a dict.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that calculates the word frequency in a given input string. 

**Function Signature:**
`def count_word_frequency(text: str) -> dict:`

**Requirements & Edge Cases to Handle:**
1. **Case-Insensitive:** Words must be counted regardless of their casing (e.g., ""Apple"", ""apple"", and ""APPLE"" should all be treated as the same word, preferably normalized to lowercase in the returned dictionary).
2. **Punctuation:** Strip leading and trailing punctuation from words so that words adjacent to punctuation (like ""hello,"" or ""(world)"") are counted correctly.
3. **Whitespace & Empty Strings:** Handle multiple spaces, tabs, newlines, and empty or whitespace-only strings gracefully (return an empty dict for empty/whitespace-only input).
4. **Return Value:** Return a dictionary where keys are the normalized words (strings) and values are their occurrence counts (integers).

**Suggested Approach:**
1. Check if the input string is empty or contains only whitespace; if so, return `{}`.
2. Convert the entire string to lowercase.
3. Use regular expressions (`re.findall(r'\b\w+\b', text.lower())`) to extract all valid words, which automatically handles punctuation and whitespace splitting.
4. Iterate through the extracted words and populate a dictionary (or use `collections.Counter`) to count the frequencies.
5. Return the resulting dictionary.",none,1
task_004,"Write a function that takes a list of (name, score) tuples and returns the name with the highest score. Break ties alphabetically.","HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that determines the winner from a list of `(name, score)` tuples based on their scores, with a specific tie-breaking rule.

### Function Signature
```python
def get_highest_scoring_name(candidates: list[tuple[str, int | float]]) -> str:
    """"""
    Takes a list of (name, score) tuples and returns the name with the highest score.
    Breaks ties alphabetically (earlier in the alphabet wins).
    """"""
```

### Key Requirements & Edge Cases
1. **Highest Score:** The function must select the candidate with the maximum score.
2. **Tie-Breaking:** If multiple candidates share the highest score, return the name that comes *first* alphabetically (i.e., lexicographically smallest string, e.g., ""Alice"" beats ""Bob"").
3. **Empty Input:** Handle the edge case where the input list is empty. You should raise a `ValueError` or return `None` (let's raise a `ValueError(""Candidate list cannot be empty"")` to be safe and explicit).

### Recommended Approach
1. Check if the input list is empty; if so, raise a `ValueError`.
2. Use Python's built-in `max()` function with a custom `key` argument.
3. The `key` can be defined such that it prioritizes the score first (ascending), and then the name second (descending, since `max()` picks the largest, or we can invert the name sorting or use sorting logic). 
   * *Alternative clean approach:* Sort the list first (or use `max`) where the sorting criteria is `key=lambda x: (x[1], [-ord(c) for c in x[0]])` or simpler: Python's `max` can take a key function. 
   * Better yet, sort the list in reverse order of score, but alphabetically for ties, then pick the first element: 
     `sorted_candidates = sorted(candidates, key=lambda x: (-x[1], x[0]))`
     `return sorted_candidates[0][0]`
   * This sorting approach (`key=lambda x: (-x[1], x[0])`) naturally handles descending scores and ascending alphabetical names for ties in a single, readable `min()` or sorted operation. Using `min()`:
     `return min(candidates, key=lambda x: (-x[1], x[0]))[0]`
     *(Verify: `-x[1]` makes higher scores smaller/first, and `x[0]` makes alphabetical tie-breaking favor 'A'/'a' first).*

Implement this logic cleanly and include robust type hinting and docstrings.",none,1
task_004,"Write a function that takes a list of (name, score) tuples and returns the name with the highest score. Break ties alphabetically.","""""""
```

### Key Requirements & Edge Cases
1. **Highest Score:** The function must select the candidate with the maximum score. 2. 3. **Empty Input:** Handle the edge case where the input list is empty. ### Recommended Approach
1. Check if the input list is empty; if so, raise a `ValueError`. 2. 3.",entity_omission,0
task_004,"Write a function that takes a list of (name, score) tuples and returns the name with the highest score. Break ties alphabetically.","HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that determines the winner from a list of `(name, score)` tuples based on their scores, with a specific tie-breaking rule.",over_summarization,0
task_011,"Write a function that returns the number of vowels (a, e, i, o, u, case-insensitive) in a string.","HANDOFF MESSAGE FOR AGENT B:

Your task is to write a Python function that counts the total number of vowels in a given input string. Vowels include 'a', 'e', 'i', 'o', and 'u' (case-insensitive).

1. Function Signature:
```python
def count_vowels(s: str) -> int:
    pass
```

2. Key Edge Cases to Handle:
- Empty strings `""""` should return `0`.
- Strings with no vowels should return `0`.
- Mixed-case strings (e.g., `""AEIOUaeiou""`) should be counted correctly.
- Strings containing numbers, punctuation, or special characters should be handled without errors (ignore non-vowel characters).

3. Plan / Approach:
- Define a set or string containing all valid vowels: `vowels = ""aeiouAEIOU""`.
- Initialize a counter variable to `0`.
- Iterate through each character in the input string `s`.
- If the character is present in the vowel set, increment the counter.
- Return the final counter value.",none,1
task_012,Write a function that removes all duplicate elements from a list while preserving the original order of first occurrence.,"HANDOFF MESSAGE FOR AGENT B:

You need to write a Python function that removes all duplicate elements from an input list while strictly preserving the original order in which the elements first appeared.

**Function Signature:**
```python
def remove_duplicates(lst: list) -> list:
```

**Key Edge Cases to Handle:**
1. **Empty list (`[]`)**: Should return an empty list.
2. **List with no duplicates**: Should return the list unchanged.
3. **List with all duplicate elements (e.g., `[1, 1, 1]`)**: Should return a single instance of the element (`[1]`).
4. **Mixed data types**: The list may contain a mix of types (e.g., integers, strings, floats). Ensure comparisons handle these correctly.
5. **Hashable vs. Unhashable elements**: Assume standard hashable types (like ints, strings, tuples), but design efficiently.

**Recommended Approach:**
The most efficient and Pythonic way to achieve $O(n)$ time complexity while preserving insertion order is to utilize Python's `dict.fromkeys(lst)` (available since Python 3.7 where dictionaries preserve insertion order) or iterate through the list while maintaining a `set` of seen elements to filter duplicates on the fly. 

Example implementation strategy:
```python
def remove_duplicates(lst: list) -> list:
    seen = set()
    result = []
    for item in lst:
        if item not in seen:
            seen.add(item)
            result.append(item)
    return result
```
Write this function cleanly with appropriate type hinting and docstrings.",none,1
task_015,Write a function that takes a dictionary and returns a new dictionary with keys and values swapped. Assume all values are unique and hashable.,"Handoff Message for Agent B:

Please write a Python function that takes a single dictionary as input and returns a new dictionary where the original keys and values have been swapped (i.e., original values become the new keys, and original keys become the new values). 

**Function Signature:**
```python
def swap_dict(d: dict) -> dict:
```

**Assumptions & Edge Cases to Handle:**
- All values in the input dictionary are guaranteed to be unique and hashable (so they can be used as dictionary keys).
- Handle an empty dictionary correctly by returning an empty dictionary.
- Ensure the function returns a *new* dictionary and does not mutate the input dictionary.

**Plan/Approach:**
1. Initialize an empty result dictionary.
2. Iterate through the key-value pairs of the input dictionary using `.items()`.
3. Assign each value as the key and the corresponding key as the value in the new dictionary (`res[v] = k`).
4. Return the new dictionary. (This can also be done concisely using a dictionary comprehension: `{v: k for k, v in d.items()}`).",none,1
task_015,Write a function that takes a dictionary and returns a new dictionary with keys and values swapped. Assume all values are unique and hashable.,"Handoff Message for Agent B:

Please write a Python function that takes a single dictionary as input and returns a new dictionary where the original keys and values have been swapped (i.e., original values become the new keys, and original keys become the new values). 

**Function Signature:**
```python
def swap_dict(d: dict) -> dict:
```

**Assumptions & Edge Cases to Handle:**

**Plan/Approach:**",tool_result_drop,0
task_016,Write a function that returns the maximum depth (number of nesting levels) of a nested list.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that calculates the maximum nesting depth of a nested list (a list that may contain integers, other lists, etc., arbitrarily nested).

**Function Signature:**
```python
def max_depth(lst: list) -> int:
```

**Key Edge Cases to Handle:**
1. **Empty list (`[]`):** Should return `1` (or `0` depending on convention, but standard depth for an empty list container is typically `1` since it is a list itself. Let's define: a non-list element has depth 0, an empty list has depth 1, or a flat list of non-lists has depth 1). *Clarification:* A completely flat list `[1, 2, 3]` has a depth of `1`. A list containing a list `[1, [2, 3]]` has a depth of `2`. An empty list `[]` should return `1`.
2. **Non-list elements:** The input list might contain mixed types (e.g., integers, strings, nested lists). Only `list` types should increase the nesting depth level.
3. **Deeply nested empty lists:** E.g., `[[[]]]` should correctly compute its maximum depth (in this case, 3).

**Plan / Approach:**
- Use a recursive approach.
- Base case: If the input is not a list, return `0` (or handle it at the iteration level).
- Recursive step: For a given list, if it is empty, its depth is `1`. If it contains elements, the depth is `1 + max(max_depth(item) for item in lst)` where `item` is checked to see if it's a list. Alternatively, iterate through all elements: if an element is an instance of `list`, recursively find its depth; otherwise, its contribution to depth beyond the current list container is `0`.
- Specifically, the logic can be:
  ```python
  if not isinstance(lst, list):
      return 0
  if not lst:
      return 1
  return 1 + max(max_depth(item) for item in lst)
  ```
  *(Note: Ensure that if an item inside `lst` is not a list, `max_depth(item)` returns `0` so that `max()` works correctly without failing on non-iterable types, or filter/handle non-lists accordingly).*",none,1
task_017,Write a function that checks if a given integer is a perfect square.,"HANDOFF MESSAGE FOR AGENT B:

Your task is to write a Python function that determines whether a given integer is a perfect square. 

Here are the exact specifications:

1. **Function Signature:**
   ```python
   def is_perfect_square(n: int) -> bool:
   ```

2. **Requirements:**
   - Return `True` if `n` is a perfect square (i.e., there exists an integer $k$ such that $k \times k = n$).
   - Return `False` otherwise.

3. **Key Edge Cases to Handle:**
   - **Negative numbers:** Numbers less than 0 cannot be perfect squares (return `False`).
   - **Zero:** `0` is a perfect square ($0 \times 0 = 0$, return `True`).
   - **One:** `1` is a perfect square ($1 \times 1 = 1$, return `True`).
   - **Large integers:** Ensure the solution is efficient and does not suffer from precision or performance issues (e.g., using integer square root methods or binary search).

4. **Recommended Approach:**
   - First, check if `n < 0`. If so, return `False`.
   - Compute the integer square root of `n` (for example, using `int(n**0.5)` or a binary search approach).
   - Check if the square of that integer root equals `n`.",none,1
task_018,"Write a function that groups a list of strings by their length, returning a dict mapping length -> list of strings of that length.","Agent B, 

Your task is to write a Python function that groups a list of strings by their length. 

### Function Signature
```python
def group_strings_by_length(strings: list[str]) -> dict[int, list[str]]:
```

### Requirements & Behavior
- Input: A list of strings.
- Output: A dictionary where each key is an integer representing the length of the strings, and the corresponding value is a list of strings of that length.
- The relative order of strings should be preserved as they appear in the input list.

### Key Edge Cases to Handle
- **Empty list (`[]`)**: Should return an empty dictionary `{}`.
- **Duplicate strings**: If the input contains duplicate strings, all instances should be included in the resulting list for that length.
- **Empty strings (`""""`)**: An empty string has a length of `0` and should be grouped under the key `0`.

### Implementation Plan
1. Initialize an empty dictionary (or use `collections.defaultdict(list)` for cleaner code).
2. Iterate through each string in the input list.
3. Determine the length of the current string using `len()`.
4. Append the string to the list corresponding to that length key in the dictionary.
5. Return the completed dictionary.",none,1
task_018,"Write a function that groups a list of strings by their length, returning a dict mapping length -> list of strings of that length.","Agent B, 

Your task is to write a Python function that groups a list of strings by their length. ### Function Signature
```python
def group_strings_by_length(strings: list[str]) -> dict[int, list[str]]:
```

### Requirements & Behavior
- Input: A list of strings. - Output: A dictionary where each key is an integer representing the length of the strings, and the corresponding value is a list of strings of that length. - The relative order of strings should be preserved as they appear in the input list. ### Key Edge Cases to Handle
- **Empty list (`[]`)**: Should return an empty dictionary `{}`. - **Duplicate strings**: If the input contains duplicate strings, all instances should be included in the resulting list for that length. - **Empty strings (`""""`)**: An empty string has a length of `0` and should be grouped under the key `0`. ### Implementation Plan
1.",truncation,0
task_019,Write a function that returns the running/cumulative sum of a list of numbers as a new list.,"Here is the handoff message for Agent B:

**Function to Build:**
Write a Python function that computes the running (cumulative) sum of a list of numbers. It should return the result as a *new* list, leaving the original list unmodified.

**Exact Function Signature:**
```python
def running_sum(numbers: list[int | float]) -> list[int | float]:
```

**Key Edge Cases to Handle:**
1. **Empty list:** Passing `[]` should return `[]`.
2. **Single-element list:** Passing `[5]` should return `[5]`.
3. **Negative numbers & floats:** The function must correctly handle negative numbers, zeros, and floating-point values (e.g., `[1, -2, 3.5]` -> `[1, -1, 2.5]`).
4. **Immutability:** Ensure a new list is returned and the input list is not mutated.

**Brief Plan / Approach:**
- Initialize an empty result list (or a variable to keep track of the running total).
- Iterate through each number in the input list, add it to the running total, and append the new total to the result list.
- Alternatively, you can use `itertools.accumulate` or a simple list comprehension / loop. A standard `for` loop tracking the sum is straightforward and easy to read. Return the new list.",none,1
task_021,"Write a function that returns True if a list of integers is sorted in non-decreasing order, False otherwise.","Handoff Message for Agent B:

You need to write a Python function that checks if a list of integers is sorted in non-decreasing order (i.e., each element is greater than or equal to the preceding one). 

Function Signature:
`def is_sorted(nums: list[int]) -> bool:`

Key Edge Cases to Handle:
- An empty list (`[]`) should return `True`.
- A list with a single element (`[5]`) should return `True`.
- Lists with all identical elements (`[2, 2, 2]`) should return `True`.
- Lists with negative numbers or a mix of positive and negative numbers.

Approach:
- Iterate through the list from the first element to the second-to-last element using a loop or `all()` with a generator expression.
- Compare each element with the one immediately following it (`nums[i] > nums[i+1]`).
- If you find any element strictly greater than the next, return `False`.
- If the loop finishes without finding any violations, return `True`.",none,1
task_022,"Write a function that converts a Roman numeral string (using I, V, X, L, C, D, M) to an integer.","**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that converts a valid Roman numeral string into its corresponding integer value.

**Function Signature:**
```python
def roman_to_int(s: str) -> int:
    """"""
    Convert a Roman numeral string to an integer.
    
    Parameters:
    s (str): A string containing valid Roman numeral characters ('I', 'V', 'X', 'L', 'C', 'D', 'M').
    
    Returns:
    int: The integer value of the Roman numeral.
    """"""
    pass
```

**Roman Numeral Reference Values:**
- I = 1
- V = 5
- X = 10
- L = 50
- C = 100
- D = 500
- M = 1000

**Key Edge Cases to Handle:**
1. **Subtractive Notation:** When a smaller value symbol appears before a larger value symbol (e.g., IV = 4, IX = 9, XL = 40, XC = 90, CD = 400, CM = 900), the smaller value must be subtracted from the larger value.
2. **Standard Additive Notation:** When symbols are in descending or equal order of value, they are simply added together (e.g., VI = 6, XII = 12, XXVII = 27).
3. **Single Characters:** Minimum length strings like `""I""` (1) or `""M""` (1000).
4. **Longer Complex Strings:** e.g., `""MCMXCIV""` -> 1994 (M = 1000, CM = 900, XC = 90, IV = 4).

**Plan / Approach:**
1. Define a dictionary mapping Roman characters to their integer values.
2. Iterate through the string from left to right (or right to left). 
   - *Left-to-Right Approach:* Compare the value of the current character with the value of the next character. If the current value is less than the next value, subtract it from the total. Otherwise, add it to the total.
3. Return the final accumulated integer sum.",none,1
task_026,Write a function that computes the greatest common divisor (GCD) of two positive integers.,"**HANDOFF MESSAGE FOR AGENT B**

**Objective:**
Write a Python function that computes the greatest common divisor (GCD) of two positive integers. 

**Exact Function Signature:**
```python
def gcd(a: int, b: int) -> int:
```

**Key Edge Cases to Handle:**
- `a == b`: The GCD of a number with itself is the number itself.
- One number is a multiple of the other (e.g., `a` divides `b` or vice versa).
- Co-prime numbers (where the GCD is 1, e.g., `gcd(7, 13)`).
- Large numbers (the solution should be efficient, not O(min(a, b))).

**Plan / Approach:**
Use the Euclidean algorithm, which is an efficient method for computing the GCD of two integers. The algorithm is based on the mathematical principle that the GCD of two numbers also divides their difference. 
- Repeatedly apply the modulo operation: `a, b = b, a % b` until `b` becomes 0.
- When `b` is 0, `a` holds the GCD value.
- This can be implemented efficiently using either a `while` loop or recursion.",none,1
task_030,"Write a function that returns True if a given year is a leap year, following standard Gregorian calendar rules.","Agent B, your task is to implement a Python function that determines whether a given year is a leap year according to the standard Gregorian calendar rules.

Here are the requirements for your implementation:

1. **Function Signature:**
   ```python
   def is_leap_year(year: int) -> bool:
   ```

2. **Gregorian Calendar Rules:**
   - A year is a leap year if it is divisible by 4.
   - However, if the year is also divisible by 100, it is NOT a leap year, *unless*:
   - The year is also divisible by 400. In that case, it IS a leap year.

3. **Key Edge Cases to Handle:**
   - Years divisible by 4 but not 100 (e.g., 2024): Should return `True`.
   - Years divisible by 100 but not 400 (e.g., 1900): Should return `False`.
   - Years divisible by 400 (e.g., 2000): Should return `True`.
   - Years not divisible by 4 (e.g., 2023): Should return `False`.
   - Negative years or year 0 (if passed, ensure the mathematical modulo logic handles them correctly or assume standard positive historical years).

4. **Approach/Implementation Plan:**
   - Check divisibility by 400 first (returns `True`).
   - Then check divisibility by 100 (returns `False`).
   - Then check divisibility by 4 (returns `True`).
   - Otherwise, return `False`. 
   - This can be cleanly written using boolean operators: `(year % 400 == 0) or (year % 4 == 0 and year % 100 != 0)`.",none,1
